AFL1,SEE2,AGE3,SED4,AFL5,SEE6,AGE7,SED8,AFL9,SEE10,AGE11,SED12,AFL13,SEE14,AGE15,SED16,AFL17,SEE18,AGE19,SED20,AFL21,SEE22,AGE23,SED24,AFL25,SEE26,AGE27,SED28,AFL29,SEE30,AGE31,SED32
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,5,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,5,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,4,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,4,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,4,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,5,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,5,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,3,4,4,4
2,4,2,4,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,4,4,4,2,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,4,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,3,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,3,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,5,4,4
2,4,2,2,5,4,1,4,2,4,4,4,5,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,3,4,4,2,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,5,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,5,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,5,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,3,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,3,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,5,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,4,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,2,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,5,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,3,4,4,2,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,3,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,5,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,5,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,5,4,4
2,4,2,4,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,5,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,5,4,2,4,4,4,2,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,4,4,4,4
2,4,2,2,4,4,1,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,5,4,2,4,4,4,3,4,4,4
